id,gid,x,y,v_x,v_y,radius,time
37,1,8.588928,3.680447,-0.060166,-1.284944,0.200000,0.200000
38,1,9.100417,4.699899,-0.546687,0.116261,0.200000,0.200000
39,1,6.718222,8.793187,-0.327641,-0.657618,0.200000,0.200000
0,0,9.867731,0.420603,-1.780559,0.195740,0.200000,0.300000
1,0,12.406016,0.634485,-1.166014,0.027407,0.200000,0.300000
2,0,7.326196,0.002245,-0.973386,0.799046,0.200000,0.300000
3,0,6.670598,-0.972824,0.069858,-0.523095,0.200000,0.300000
4,0,8.739533,0.779728,-0.477578,-0.007393,0.200000,0.300000
5,0,5.133732,0.202474,-0.341364,-0.847463,0.200000,0.300000
6,0,13.354149,-1.060170,-1.320474,-0.348665,0.200000,0.300000
7,0,10.833217,-0.320508,-0.689732,-0.768839,0.200000,0.300000
8,0,12.923816,-0.412295,-1.904953,0.443281,0.200000,0.300000
9,0,7.929065,-0.270011,0.202514,-0.765591,0.200000,0.300000
10,0,6.740741,0.477285,-0.886594,0.816824,0.200000,0.300000
11,0,14.681672,-0.658343,-0.458659,0.126305,0.200000,0.300000
12,0,13.362720,0.492281,-0.528088,-0.048421,0.200000,0.300000
13,0,8.402467,0.165851,-0.805260,0.260221,0.200000,0.300000
14,0,6.671484,-0.344759,-1.017453,-0.059616,0.200000,0.300000
15,0,13.403464,1.150324,-0.892197,0.595853,0.200000,0.300000
16,0,6.089480,-0.025329,-1.431589,-0.247592,0.200000,0.300000
17,0,6.575887,1.152780,-0.372731,0.701123,0.200000,0.300000
18,0,9.158872,-0.440859,-1.409477,0.027864,0.200000,0.300000
19,0,7.198990,-1.147796,-0.618945,-1.198553,0.200000,0.300000
20,1,7.235747,7.643511,-0.171827,-0.259886,0.200000,0.300000
21,1,8.323003,-4.376399,-0.198685,-0.666462,0.200000,0.300000
22,1,6.958911,2.274448,-0.713289,0.127592,0.200000,0.300000
23,1,9.125035,-3.385829,-0.126334,-1.404318,0.200000,0.300000
24,1,5.230414,5.204625,-0.191818,-0.816440,0.200000,0.300000
25,1,8.459023,-2.237006,-0.062835,-1.338296,0.200000,0.300000
26,1,6.898121,6.337689,0.933890,-0.519756,0.200000,0.300000
27,1,5.071094,1.102503,-0.624166,-0.575897,0.200000,0.300000
28,1,4.618828,2.754982,-0.739381,-0.706099,0.200000,0.300000
29,1,4.674132,0.313561,-0.653965,-1.709890,0.200000,0.300000
30,1,7.644793,3.252974,0.087316,-0.235599,0.200000,0.300000
31,1,7.206333,-4.733715,-0.613645,-1.758611,0.200000,0.300000
32,1,5.530500,2.216912,-0.834992,-0.698153,0.200000,0.300000
33,1,7.988926,5.025576,-0.081982,-0.806264,0.200000,0.300000
34,1,4.887232,6.381171,0.136453,-1.079578,0.200000,0.300000
35,1,9.260042,3.569018,0.543597,-0.938475,0.200000,0.300000
36,1,6.130848,4.223496,-0.156830,-0.344318,0.200000,0.300000
37,1,8.595407,3.549144,0.064789,-1.313028,0.200000,0.300000
38,1,9.027429,4.686968,-0.729880,-0.129311,0.200000,0.300000
39,1,6.729817,8.731486,0.115948,-0.617011,0.200000,0.300000
0,0,9.707935,0.396816,-1.597959,-0.237867,0.200000,0.400000
1,0,12.259559,0.640789,-1.464570,0.063038,0.200000,0.400000
2,0,7.223322,0.029390,-1.028732,0.271448,0.200000,0.400000
3,0,6.624074,-1.033139,-0.465240,-0.603158,0.200000,0.400000
4,0,8.710120,0.813630,-0.294126,0.339019,0.200000,0.400000
5,0,5.036961,0.174387,-0.967702,-0.280871,0.200000,0.400000
6,0,13.228392,-1.086576,-1.257576,-0.264061,0.200000,0.400000
7,0,10.720765,-0.328827,-1.124521,-0.083196,0.200000,0.400000
8,0,12.796894,-0.428408,-1.269223,-0.161128,0.200000,0.400000
9,0,7.859089,-0.250984,-0.699759,0.190276,0.200000,0.400000
10,0,6.574136,0.497901,-1.666049,0.206158,0.200000,0.400000
11,0,14.636952,-0.586612,-0.447196,0.717312,0.200000,0.400000
12,0,13.264725,0.536657,-0.979955,0.443762,0.200000,0.400000
13,0,8.328665,0.238303,-0.738019,0.724519,0.200000,0.400000
14,0,6.589694,-0.277489,-0.817903,0.672695,0.200000,0.400000
15,0,13.313496,1.203230,-0.899677,0.529056,0.200000,0.400000
16,0,5.970884,-0.028621,-1.185953,-0.032924,0.200000,0.400000
17,0,6.576577,1.182251,0.006905,0.294703,0.200000,0.400000
18,0,9.048758,-0.398129,-1.101136,0.427298,0.200000,0.400000
19,0,7.118740,-1.300212,-0.802493,-1.524158,0.200000,0.400000
20,1,7.202028,7.622204,-0.337191,-0.213064,0.200000,0.400000
21,1,8.304026,-4.433198,-0.189766,-0.567992,0.200000,0.400000
22,1,6.941965,2.218492,-0.169461,-0.559558,0.200000,0.400000
23,1,9.078805,-3.545101,-0.462306,-1.592712,0.200000,0.400000
24,1,5.266472,5.143954,0.360584,-0.606706,0.200000,0.400000
25,1,8.472306,-2.337831,0.132835,-1.008248,0.200000,0.400000
26,1,6.954952,6.274319,0.568312,-0.633695,0.200000,0.400000
27,1,5.019102,1.062261,-0.519916,-0.402421,0.200000,0.400000
28,1,4.479868,2.700784,-1.389599,-0.541979,0.200000,0.400000
29,1,4.647987,0.201467,-0.261456,-1.120941,0.200000,0.400000
30,1,7.605776,3.179186,-0.390166,-0.737886,0.200000,0.400000
31,1,7.203533,-4.933685,-0.027996,-1.999697,0.200000,0.400000
32,1,5.474781,2.146089,-0.557195,-0.708236,0.200000,0.400000
33,1,7.931655,4.933960,-0.572709,-0.916163,0.200000,0.400000
34,1,4.886085,6.275713,-0.011478,-1.054574,0.200000,0.400000
35,1,9.267722,3.488206,0.076808,-0.808122,0.200000,0.400000
36,1,6.139367,4.135216,0.085192,-0.882804,0.200000,0.400000
37,1,8.591660,3.412198,-0.037473,-1.369460,0.200000,0.400000
