id,gid,x,y,v_x,v_y,radius,time
0,0,-8.970034,-0.999664,0.299661,0.003362,0.750000,0.100000
1,0,-8.979032,0.995306,0.209683,-0.046942,0.750000,0.100000
2,1,-0.067074,-0.000326,-0.670742,-0.003263,0.750000,0.100000
0,0,-8.920213,-1.000821,0.498211,-0.011576,0.750000,0.200000
1,0,-8.920798,0.989759,0.582336,-0.055464,0.750000,0.200000
2,1,-0.186821,-0.001227,-1.197472,-0.009003,0.750000,0.200000
0,0,-8.842432,-0.999784,0.777810,0.010371,0.750000,0.300000
1,0,-8.838752,0.987761,0.820457,-0.019988,0.750000,0.300000
2,1,-0.313287,0.000466,-1.264658,0.016924,0.750000,0.300000
0,0,-8.746334,-1.005399,0.960982,-0.056152,0.750000,0.400000
1,0,-8.717784,0.987774,1.209685,0.000131,0.750000,0.400000
2,1,-0.435598,0.001804,-1.223112,0.013381,0.750000,0.400000
0,0,-8.621180,-1.013260,1.251531,-0.078609,0.750000,0.500000
1,0,-8.592445,0.988178,1.253389,0.004042,0.750000,0.500000
2,1,-0.549340,0.007229,-1.137421,0.054250,0.750000,0.500000
0,0,-8.491266,-1.025273,1.299148,-0.120122,0.750000,0.600000
1,0,-8.475432,1.000498,1.170134,0.123202,0.750000,0.600000
2,1,-0.668171,0.017422,-1.188310,0.101932,0.750000,0.600000
0,0,-8.357955,-1.029795,1.333111,-0.045221,0.750000,0.700000
1,0,-8.347478,1.006161,1.279532,0.056630,0.750000,0.700000
2,1,-0.787911,0.015394,-1.197401,-0.020278,0.750000,0.700000
0,0,-8.224150,-1.029998,1.338044,-0.002039,0.750000,0.800000
1,0,-8.230852,1.007651,1.166263,0.014899,0.750000,0.800000
2,1,-0.904191,0.009027,-1.162793,-0.063672,0.750000,0.800000
0,0,-8.091091,-1.036977,1.330592,-0.069786,0.750000,0.900000
1,0,-8.106867,1.012570,1.239849,0.049189,0.750000,0.900000
2,1,-1.033783,0.000298,-1.295923,-0.087287,0.750000,0.900000
0,0,-7.947802,-1.040045,1.432891,-0.030675,0.750000,1.000000
1,0,-7.985257,1.025911,1.216097,0.133409,0.750000,1.000000
2,1,-1.156664,0.005136,-1.228809,0.048375,0.750000,1.000000
0,0,-7.804449,-1.033965,1.433526,0.060798,0.750000,1.100000
1,0,-7.854605,1.032879,1.306527,0.069680,0.750000,1.100000
2,1,-1.295350,0.000705,-1.386865,-0.044304,0.750000,1.100000
0,0,-7.671927,-1.044067,1.325223,-0.101018,0.750000,1.200000
1,0,-7.723327,1.049775,1.312778,0.168958,0.750000,1.200000
2,1,-1.423276,-0.015087,-1.279258,-0.157926,0.750000,1.200000
0,0,-7.536898,-1.047643,1.350286,-0.035767,0.750000,1.300000
1,0,-7.594567,1.057352,1.287603,0.075773,0.750000,1.300000
2,1,-1.554898,-0.019031,-1.316217,-0.039434,0.750000,1.300000
0,0,-7.418629,-1.051346,1.182694,-0.037031,0.750000,1.400000
1,0,-7.463699,1.057190,1.308672,-0.001621,0.750000,1.400000
2,1,-1.685363,-0.011866,-1.304652,0.071642,0.750000,1.400000
0,0,-7.293212,-1.051967,1.254175,-0.006204,0.750000,1.500000
1,0,-7.330186,1.053090,1.335136,-0.041004,0.750000,1.500000
