id,gid,x,y,v_x,v_y,radius,time
5,5,-4.875321,-4.813345,0.968433,0.914029,0.500000,1.000000
6,6,0.064899,-6.571431,0.223596,1.643165,0.500000,1.000000
7,7,4.864974,-5.047144,-0.982940,0.908822,0.500000,1.000000
0,0,6.575383,0.004356,-1.543149,0.036745,0.500000,1.100000
1,1,4.697263,4.880184,-1.038049,-0.707693,0.500000,1.100000
2,2,0.022282,6.507265,-0.000679,-1.563469,0.500000,1.100000
3,3,-4.539834,4.631097,0.604225,-0.958492,0.500000,1.100000
4,4,-6.933861,-0.074523,0.992823,-0.210895,0.500000,1.100000
5,5,-4.775312,-4.724119,1.000090,0.892256,0.500000,1.100000
6,6,0.083699,-6.454696,0.188006,1.167355,0.500000,1.100000
7,7,4.769416,-4.979838,-0.955575,0.673058,0.500000,1.100000
0,0,6.446113,0.007228,-1.292698,0.028725,0.500000,1.200000
1,1,4.627685,4.800883,-0.695777,-0.793015,0.500000,1.200000
2,2,0.015520,6.382922,-0.067620,-1.243426,0.500000,1.200000
3,3,-4.452823,4.539147,0.870110,-0.919500,0.500000,1.200000
4,4,-6.839858,-0.087331,0.940036,-0.128071,0.500000,1.200000
5,5,-4.675964,-4.629230,0.993483,0.948888,0.500000,1.200000
6,6,0.101170,-6.280337,0.174701,1.743589,0.500000,1.200000
7,7,4.706408,-4.912950,-0.630088,0.668881,0.500000,1.200000
0,0,6.312546,-0.021126,-1.335669,-0.283547,0.500000,1.300000
1,1,4.562333,4.724132,-0.653522,-0.767509,0.500000,1.300000
2,2,0.026108,6.229198,0.105879,-1.537247,0.500000,1.300000
3,3,-4.356123,4.431665,0.966997,-1.074817,0.500000,1.300000
4,4,-6.746509,-0.083987,0.933482,0.033432,0.500000,1.300000
5,5,-4.593968,-4.543783,0.819951,0.854473,0.500000,1.300000
6,6,0.114745,-6.148502,0.135756,1.318352,0.500000,1.300000
7,7,4.607521,-4.846188,-0.988871,0.667623,0.500000,1.300000
0,0,6.212091,-0.038326,-1.004550,-0.171991,0.500000,1.400000
1,1,4.481178,4.657048,-0.811552,-0.670837,0.500000,1.400000
2,2,0.074294,6.075572,0.481860,-1.536257,0.500000,1.400000
3,3,-4.263459,4.349088,0.926648,-0.825776,0.500000,1.400000
4,4,-6.665671,-0.059637,0.808383,0.243499,0.500000,1.400000
5,5,-4.485484,-4.468999,1.084848,0.747843,0.500000,1.400000
6,6,0.138622,-5.985228,0.238769,1.632736,0.500000,1.400000
7,7,4.541663,-4.779938,-0.658577,0.662498,0.500000,1.400000
0,0,6.128090,-0.021970,-0.840007,0.163553,0.500000,1.500000
1,1,4.416641,4.578392,-0.645366,-0.786559,0.500000,1.500000
2,2,0.114506,5.894309,0.402121,-1.812633,0.500000,1.500000
3,3,-4.147243,4.264986,1.162158,-0.841012,0.500000,1.500000
4,4,-6.549663,-0.081978,1.160084,-0.223406,0.500000,1.500000
5,5,-4.387501,-4.381504,0.979832,0.874944,0.500000,1.500000
6,6,0.155130,-5.810657,0.165075,1.745715,0.500000,1.500000
7,7,4.467915,-4.679267,-0.737480,1.006705,0.500000,1.500000
0,0,5.993539,-0.017322,-1.345510,0.046480,0.500000,1.600000
1,1,4.335896,4.497725,-0.807447,-0.806668,0.500000,1.600000
2,2,0.136739,5.718571,0.222332,-1.757381,0.500000,1.600000
3,3,-4.032597,4.205928,1.146464,-0.590587,0.500000,1.600000
4,4,-6.431756,-0.092275,1.179067,-0.102971,0.500000,1.600000
5,5,-4.267842,-4.293430,1.196585,0.880744,0.500000,1.600000
6,6,0.150984,-5.630055,-0.041461,1.806018,0.500000,1.600000
7,7,4.384307,-4.601035,-0.836080,0.782322,0.500000,1.600000
0,0,5.868116,-0.015059,-1.254229,0.022635,0.500000,1.700000
1,1,4.253968,4.430509,-0.819280,-0.672159,0.500000,1.700000
2,2,0.162419,5.552560,0.256797,-1.660108,0.500000,1.700000
3,3,-3.943760,4.102655,0.888365,-1.032726,0.500000,1.700000
4,4,-6.323274,-0.109138,1.084824,-0.168630,0.500000,1.700000
5,5,-4.158028,-4.198529,1.098145,0.949013,0.500000,1.700000
6,6,0.171418,-5.469521,0.204346,1.605338,0.500000,1.700000
7,7,4.304796,-4.506186,-0.795113,0.948488,0.500000,1.700000
0,0,5.724645,-0.024846,-1.434715,-0.097876,0.500000,1.800000
1,1,4.156414,4.347303,-0.975540,-0.832066,0.500000,1.800000
2,2,0.191525,5.399768,0.291065,-1.527915,0.500000,1.800000
3,3,-3.849631,4.005146,0.941286,-0.975094,0.500000,1.800000
4,4,-6.256663,-0.126621,0.666111,-0.174832,0.500000,1.800000
5,5,-4.046059,-4.111421,1.119685,0.871077,0.500000,1.800000
6,6,0.180823,-5.307030,0.094048,1.624910,0.500000,1.800000
7,7,4.234964,-4.421234,-0.698318,0.849519,0.500000,1.800000
0,0,5.573653,-0.035669,-1.509914,-0.108226,0.500000,1.900000
1,1,4.066739,4.280487,-0.896754,-0.668154,0.500000,1.900000
2,2,0.188077,5.218399,-0.034478,-1.813693,0.500000,1.900000
3,3,-3.759707,3.900591,0.899243,-1.045547,0.500000,1.900000
4,4,-6.182301,-0.099632,0.743619,0.269892,0.500000,1.900000
5,5,-3.957019,-4.021119,0.890396,0.903025,0.500000,1.900000
6,6,0.166331,-5.140641,-0.144917,1.663894,0.500000,1.900000
7,7,4.166751,-4.348456,-0.682124,0.727781,0.500000,1.900000
0,0,5.420770,-0.027679,-1.528835,0.079898,0.500000,2.000000
1,1,3.966077,4.213610,-1.006619,-0.668774,0.500000,2.000000
2,2,0.204011,5.044676,0.159339,-1.737232,0.500000,2.000000
3,3,-3.679149,3.787886,0.805580,-1.127050,0.500000,2.000000
4,4,-6.070833,-0.094832,1.114674,0.048000,0.500000,2.000000
5,5,-3.857156,-3.940033,0.998635,0.810853,0.500000,2.000000
6,6,0.150293,-4.986621,-0.160386,1.540197,0.500000,2.000000
7,7,4.093381,-4.306709,-0.733705,0.417477,0.500000,2.000000
0,0,5.234250,0.009882,-1.865198,0.375615,0.500000,2.100000
1,1,3.866085,4.151776,-0.999917,-0.618339,0.500000,2.100000
2,2,0.194905,4.862663,-0.091068,-1.820124,0.500000,2.100000
3,3,-3.569223,3.694062,1.099263,-0.938240,0.500000,2.100000
4,4,-5.962467,-0.107680,1.083659,-0.128477,0.500000,2.100000
5,5,-3.745794,-3.862157,1.113620,0.778759,0.500000,2.100000
6,6,0.153347,-4.842871,0.030544,1.437495,0.500000,2.100000
7,7,3.991871,-4.253275,-1.015094,0.534340,0.500000,2.100000
0,0,5.077876,0.015409,-1.563739,0.055267,0.500000,2.200000
1,1,3.781360,4.090945,-0.847250,-0.608313,0.500000,2.200000
2,2,0.163821,4.671090,-0.310832,-1.915738,0.500000,2.200000
3,3,-3.491055,3.574271,0.781682,-1.197906,0.500000,2.200000
4,4,-5.846744,-0.104979,1.157236,0.027012,0.500000,2.200000
5,5,-3.652099,-3.756089,0.936947,1.060687,0.500000,2.200000
